"M52","Milla","Unidad comunmente usada en los Estados Unidos para la inspección de artillería."
"M53","Metro por pascal","Metro, unidad del Sistema Internacional dividido por Pascal, Unidad del Sistema Internacional"
"MTK","Metro cuadrado","Es la unidad básica de superficie en el Sistema Internacional de Unidades. Si a esta unidad se antepone un prefijo del Sistema Internacional se crea un múltiplo o submúltiplo de esta."
"KMK","Kilómetro cuadrado","Es la unidad de superficie de área que se corresponde con un cuadrado de un kilómetro de lado."
"H30","Micrómetro cuadrado",
"H59","Metro cuadrado por newton",
"DAA","Decar",
"CMK","Centímetro cuadrado","Medida de longitud, de símbolo cm, que es igual a la centésima parte de un metro."
"DMK","Decímetro cuadrado ","Medida de longitud, de símbolo dm, que es igual a la décima parte de un metro."
"H16","Decámetro cuadrado",
"H18","Hectómetro cuadrado","Sinónimo: hectárea"
"MMK","Milímetro cuadrado","Medida de longitud, de símbolo mm, que es igual a la milésima parte de un metro."
"INK","Pulgada cuadrada","Es una unidad de medida imperial, equivalente a la superficie de un cuadrado cuyo lado posee 1 pulgada de longitud (2,54 centímetros)."
"FTK","Pie cuadrado"," Es una unidad de superficie del sistema anglosajón de unidades, equivalente a un cuadrado de un pie de lado."
"YDK","Yarda cuadrada","Es una unidad anglosajona de superficie de una yarda de lado. "
"MIK","Milla cuadrada (milla estatal)"," Es una unidad de superficie equivalente a un cuadrado cuyos lados miden una milla estatutaria."
"M48","Milla cuadrada (basado en u.s survey foot)","Unidad de área que es principalmente usada en la agricultura y en la forestación."
"ACR","Acre","Es una medida de superficie, usada en agricultura en varios países."
"M47","Circular Mil","Unidad que representa el área del círculo de un mil de diámetro."
"MTQ","Metro cúbico","Sinónimo: metro cúbico"
"MAL","Megalitro",
"LTR","Litro","Es una unidad de volumen equivalente a un decímetro cúbico (1 dm³). Su uso es aceptado en el Sistema Internacional de Unidades (SI), aunque ya no pertenece estrictamente a él."
"MMQ","Milímetro cúbico","Medida de longitud, de símbolo mm, que es igual a la milésima parte de un metro."
"CMQ","Centímetro cúbico","Medida de longitud, de símbolo cm, que es igual a la centésima parte de un metro."
"DMQ","Decímetro cúbico","Medida de longitud, de símbolo dm, que es igual a la décima parte de un metro."
"MLT","Mililitro","Medida de volumen, de símbolo ml, que es igual a la milésima parte de un litro."
"HLT","Hectolitro","Es una unidad de volumen equivalente a cien litros, representado por el símbolo hl. Es el segundo múltiplo del litro y también equivale a 100 decímetros cúbicos (0,1 metros cúbicos)."
"CLT","Centilitro","Medida de volumen, de símbolo cl, que es igual a la centésima parte de un litro."
"DMA","Decámetro cúbico",
"H19","Hectómetro cúbico",
"H20","Kilómetro cúbico",
"M71","Metro cúbico por pascal (joules)","Unidad de Energía del sistema internacional, metro elevado al exponente 3 y dividido por la unidad pascal."
"DLT","Decilitro",
"4G","Microlitro",
"K6","Kilolitro",
"A44","Decalitro",
"G94","Centímetro cúbico por bar",
"G95","Litro por bar",
"G96","Metro cúbico por bar",
"G97","Mililitro por bar ",
"INQ","Pulgada cúbica","Sinónimo: pulgada cuadrada"
"FTQ","Pie cubico",
"YDQ","Yarda cúbica",
"GLI","Galón (reino unido)","Es una unidad de volumen que se emplea en los países anglófonos (especialmente Estados Unidos) o con influencia de estos (como Liberia, Guatemala, Panamá, Honduras, Nicaragua, El Salvador, Colombia y parcialmente en México), para medir volúmenes de líquid"
"GLL","Galón (estados unidos)","Es una unidad de volumen que se emplea en los países anglófonos (especialmente Estados Unidos) o con influencia de estos (como Liberia, Guatemala, Panamá, Honduras, Nicaragua, El Salvador, Colombia y parcialmente en México), para medir volúmenes de líquid"
"PTI","Pint (uk)","Es una unidad de volumen inglesa en el sistema imperial y los Estados Unidos. La versión imperial usada en el Reino Unido es de 20 onzas líquidas y es equivalente a 568,26125 ml, mientras que en los EE.UU. es de 16 onzas líquidas y es equivalente a 473,17"
"QTI","Cuarto (reino unido)","Es una unidad de medida de volumen equivalente a media fanega. En Castilla equivalía a aproximadamente a 6 celemines. La medida real cambia según regiones o incluso localidades."
"PTL","Pinta líquida (estados unidos)",
"QTL","Cuarto de líquido (estadis unidos)",
"PTD","Pinta seca (estados unidos)",
"OZI","Onza líquida (reino unido)",
"J57","Barril (uk petróleo)","Es el nombre de varias unidades de volumen usadas en el Reino Unido y en los Estados Unidos."
"K21","Pie cúbico por grado fahrenheit",
"K23","Pie cúbico por psi (libra por pulgada cuadrada)",
"L43","Peck (reino unido)","Un peck es una unidad tradicional de medida de volúmenes. Aunque puede ser utilizado para medir seco y líquido, se utiliza generalmente para las materias secas. Es igual a 1/4 bushel, 2 galones, o 8 cuartos de galón."
"L84","Tonelada (flota reino unido)",
"L86","Tonelada (flota estados unidos)",
"M11","Yarda cúbica por grado fahrenheit",
"M14","Yarda cúbica por psi (libra por pulgada cuadrada)",
"OZA","Onza líquida (estados unidos)",
"BUI","Bushel (reino unido)","Un bushel tiene 4 pecks o 32 quarts, y equivale a 1,03205 del bushel de los Estados Unidos, que a su vez equivale a 0,35238 hectolitros. La palabra bushel está cayendo en desuso rápidamente."
"BUA","Bushel (estados unidos)","El bushel es una unidad de medida de capacidad para mercancía sólida en los países anglosajones (países de habla inglesa). Se utiliza en el comercio de granos, harinas y otros productos análogos."
"BLL","Barril (estados unidos)","Un barril estadounidense es igual a:

42 galones estadounidenses
168 cuartos estadounidenses
336 pintas estadounidenses
1344 gills estadounidenses
5376 onzas líquidas estadounidenses
158.987294928 litros"
"BLD","Barril seco (estados unidos)",
"GLD","Galón seco (estados unidos)",
"QTD","Cuarto seco (estados unidos)",
"G26","Estere",
"G21","Taza (unidad de volumen)",
"G24","Cucharada (estados unidos)","1/2 onzas fluidas, 3 cucharaditas, 15 mililitros"
"G25","Cucharilla (estados unidos)","1/6 onzas fluidas o 5 mililitros"
"G23","Peck","Es una unidad de medida imperial y habitual en  Estados Unidos de volumen seco."
"M67","Acre-pie","Unidad de volúmen, la cúal es usada en los Estados Unidos para medir la capacidad de las presas."
"M68","Cordón","Unidad tradicional del volumen de leña apilada que se ha medido con un cordón."
"M69","Milla cúbica (reinounido)",
"M70","Unidad tradicional de capacidad de carga",
"G27","Centímetro cúbico por kelvin",
"G29","Metro cúbico por kelvin",
"G28","Litro por kelvin",
"G30","Mililitro por klevin",
"J36","Microlitro por litro",
"J87","Centímetro cúbico por metro cúbico",
"J91","Decímetro cúbico por metro cúbico",
"K62","Litro por litro",
"L19","Mililitro por litro",
"L21","Milimetro cúbico por metro cúbico",
"SEC","Segundo [unidad de tiempo]","Supone comúnmente una sesentava parte de un minuto (1⁄60) y es esencial para la medición en múltiples sistemas de unidades. "
"MIN","Minuto [unidad de tiempo]","Es una unidad de tiempo que equivale a la sexagésima parte de una hora. También comprende 60 segundos. Su símbolo es min (adviértase que no es una abreviatura: no admite mayúscula, ni punto, ni plural). "
"HUR","Hora","Es una unidad de tiempo que se corresponde con la vigésimo-cuarta parte de un día solar medio."
"DAY","Día","Se denomina día (del latín dies) al lapso que tarda la Tierra desde que el Sol está en el punto más alto sobre el horizonte hasta que vuelve a estarlo."
"B52","Kilosegundo",
"C26","Milisegundo",
"H70","Picosegundo",
"B98","Microsegundo",
"C47","Nanosegundo",
"WEE","Semana","Es el período de tiempo estándar utilizado para los ciclos de días de trabajo y de descanso en la mayoría de las partes del mundo."
"MON","Mes ","Unidad de tiempo equivalente a 1/12 de año de 365.25 días."
"ANN","Año","Unidad de tiempo equivalente a 365.25 días. "
"D42","Año tropical","Unidad de tiempo equivalente a 365.242 19 días. Sinónimo: año solar."
"L95","Año común","Es un año civil de 365 días, uno menos que el año bisiesto, por lo que tiene exactamente 52 semanas y un día. El reparto de los años civiles entre años comunes y años bisiestos se hace de acuerdo con el calendario gregoriano: en cada período de 400 años h"
"L96","Año sideral","Es el tiempo que trascurre entre dos pasos consecutivos de la Tierra por un mismo punto de su órbita, tomando como referencia a las estrellas."
"M56","Shake ","Unidad para un periódo muy corto."
"2A","Radián por segundo","Es la velocidad de un cuerpo que, con una rotación uniforme alrededor de un eje fijo, gira en 1 segundo, 1 radián. "
"M46","Revolución por minuto",
"2B","Radián por segundo cuadrado","Es la aceleración angular de un cuerpo animado de una rotación uniformemente variada alrededor de un eje fijo, cuya velocidad angular, varía 1 radián por segundo, en 1 segundo. "
"M45","Grado por segundo cuadrado","360 partes de un círculo completo dividido por la potencia de la unidad de base SI en segundo lugar y el exponente 2."
"MTS","Metro por segundo","Es la velocidad de un cuerpo que, con movimiento uniforme, recorre, una longitud de un metro en 1 segundo ."
"KNT","Nudo","El nudo es una medida de velocidad utilizada tanto para navegación marítima como aérea, equivalente a 1852 m/hora. También se utiliza en meteorología para medir la velocidad de los vientos."
"KMH","Kilómetro por hora",
"C16","Milímetro por segundo",
"2M","Centímetro por segundo",
"H49","Centímetro por hora",
"H81","Milímetro por minuto",
"2X","Metro por minuto",
"M59","Metro por segundo pascal","Metro dividido por el producto de SI unidad base segundo y el derivado unidad SI pascal."
"H66","Milímetro por año ",
"H67","Milímetro por hora",
"FR","Pie por minuto",
"IU","Pulgada por segundo",
"FS","Pie por segundo",
"HM","Milla por hora (milla estatal)",
"J84","Centímetro por segundo kelvin",
"J85","Centímetro por segundo bar",
"K14","Pie por hora",
"K18","Pie por segundo grado fahrenheit",
"K19","Pie por segundo psi (libra por pulgada cuadrada)",
"K47","Pulgada por segundo grado fahrenheit",
"K48","Pulgada por segundo psi (libra por pulgada cuadrada)",
"L12","Metro por segundo kelvin",
"L13","Metro por segundo bar",
"M22","Milímetro por centímetro cuadrado minuto",
"M57","Milla por minuto","Unidad de velocidad del sistema inglés de unidades."
"M58","Milla por segundo","Unidad de velocidad del sistema inglés de unidades."
"M60","Metro por hora","Metro,unidad del sistema internacional dividido por la unidad de hora."
"M61","Pulgada por año","Unidad de longitud según el sistema de unidades Anglo-Americano y el sistema Imperial de unidades dividido por la unidad común año de 365 días."
"M62","Kilómetro por segundo","1000 veces del medidor de unidad de base SI dividido por la segunda unidad de base SI."
"M63","Pulgada por minuto","Unidad de pulgada de acuerdo con el sistema de unidades Anglo-Americanas e Imperial dividido por el minuto de unidad."
"M64","Yarda por segundo","Unidad de yarda de acuerdo con el sistema de unidades Anglo-Americanas e Imperial dividido por la unidad de base segundo."
"M65","Yarda por minuto","Unidad de yarda de acuerdo con el sistema de unidades Anglo-Americanas e Imperial dividido por el minuto de unidad."
"M66","Yarda por hora","Unidad de yarda de acuerdo con el sistema Anglo-Americano y el sistema Imperial de unidades, dividido por la unidad de minuto."
"MSK","Metro por segundo cuadrado","Es la aceleración de un cuerpo, animado de movimiento uniformemente variado, cuya velocidad varía cada segundo, 1 m/s. "
"A76","Galón","Es una unidad de volumen que se emplea en los países anglófonos (especialmente Estados Unidos) o con influencia de estos (como Liberia, Guatemala, Panamá, Honduras, Nicaragua, El Salvador, Colombia y parcialmente en México), para medir volúmenes de líquid"
"C11","Miligalón",
"M38","Kilómetro por segundo cuadrado","1000 veces de la unidad base del sistema internacional dividido por la potencia de la unidad base del sistema internacional por el segundo al  exponente 2."
"M39","Centímetro por segundo cuadrado","0.01 veces de unidad de base del sistema internacional dividido por la potencia de la unidad de base del sistema internacional en segundo lugar por el exponente 2."
"M41","Milímetro por segundo cuadrado","0.001 veces de unidad de base del sistema internacional, dividido por la potencia de la unidad de base del sistema internacional por el segundo exponente 2."
"A73","Pie por segundo al cuadrado",
"IV","Pulgada por segundo al cuadrado",
"K40","Aceleración estándar de la caída libre","Es la aceleración nominal de la gravedad de un objeto en un vacío cerca de la superficie de la Tierra."
"M40","Yarda por segundo cuadrado","Unidad de longitud de acuerdo con el sistema Anglo-Americano y el sistema imperial de unidades, dividido por la potencia de la unidad del sistema internacional, segundo elevado al exponente 2."
"M42","Milla (milla estatal)  por segundo cuadrado","Unidad de la longitud según el sistema Imperial de unidades dividido por la potencia de la unidad base del sistema internacional por segundo por el exponente 2."
"C92","Metro recíproco",
"Q32","Femtolitro",
"Q33","Picolitro",
"Q34","Nanolitro",
"AWG","Calibre de alambre americano","También conocido como el calibre del cable Brown & Sharpe , es un estandarizado calibre del cable sistema utilizado desde 1857 predominantemente en Norteamérica para los diámetros de vuelta, no ferroso,, sólido eléctricamente conductor de alambre."
"NM3","Metro cúbico normalizado","Metros cúbicos normalizados (temperatura 0 ° C y presión 101325 milibares)"
"SM3","Metro cúbico estándar","Metro cúbico estándar (temperatura 15 ° C y presión 101325 milibares)"
"HTZ","Hertz","Unidad de frecuencia del Sistema Internacional, de símbolo Hz, que equivale a la frecuencia de un fenómeno periódico cuyo período es 1 segundo."
"KHZ","Kilohertz","Medida de frecuencia que es igual a 1000 hertz."
"MHZ","Megahertz","Medida de frecuencia que es igual a 1 millón de hertz."
"D29","Terahertz","Se refiere a las ondas electromagnéticas que se propagan en las frecuencias en el rango de los terahercios."
"A86","Gigahertz","Es un múltiplo de la unidad de medida de frecuencia hercio (Hz) y equivale a 109 (1 000 000 000) Hz. Por lo tanto, tiene un período de oscilación de 1 nanosegundo. Las ondas de radio con frecuencias cercanas al gigahercio se denominan microondas."
"H10","Hora recíproca",
"H11","Mes recíproco",
"H09","Año recíproco",
"H85","Semana recíproca",
"C97","Segundo recíproco",
"RPS","Revoluciones por segundo","Consulte la Guía ISO / TC12 SI"
"RPM","Revoluciones por minuto","Consulte la Guía ISO / TC12 SI"
"C94","Minuto recíproco",
"C50","Neperio","El neper o neperio es una unidad de medida relativa que se utiliza frecuentemente en el campo de la telecomunicación, para expresar relaciones entre voltajes o intensidades."
"2N","Decibel","Medida de sonoridad o sensación sonora que es igual a la décima parte de un bel."
"M72","Bel","las décimas de bel, o decibeles. El logaritmo de la relación del sonido o la señal con un estándar proporciona la medición del decibel. ... El símbolo correspondiente a la unidad es B, pero dB es la unidad estándar."
"C51","Neper por segundo",
"KGM","Kilogramo","Una unidad de masa igual a mil gramos."
"MC","Microgramo",
"DJ","Decagramo",
"DG","Decigramo",
"GRM","Gramo","Medida de masa, de símbolo g, que es igual a la milésima parte de un kilogramo."
"CGM","Centígramo",
"TNE","Tonelada (tonelada métrica)","Sinónimo: tonelada métrica"
"DTN","Decitonelada métrica","Sinónimo: centner, métrico 100 kg; Quintal, métrico 100 kg"
"MGM","Miligramo","Medida de masa, de símbolo mg, que es igual a la milésima parte de un gramo."
"HGM","Héctogramo",
"KTN","Kilotonelada Métrica",
"2U","Megagramo",
"LBR","Libra","Unidad monetaria de Irlanda (hasta su sustitución por el euro), Reino Unido, Chipre, Egipto, Líbano, Malta, Siria y otros países."
"GRN","Grano","Es la mínima unidad de masa en el sistema inglés de medidas. Se considera con el mismo valor en cualquier país anglosajón. Se utiliza para estimar con más sensibilidad y precisión la poca masa de pequeños objetos (medicamentos, drogas, pólvora, proyectile"
"ONZ","Onza (avoirdupois)","Es una unidad de masa usada desde la Antigua Roma para pesar con mayor precisión las mercancías y otros artículos, especialmente si su peso era menor que una libra romana"
"CWI","Hundredweight",
"CWA","Hundred pound",
"LTN","Tonelada (reino unido) o tonelada larga (estados unidos)","Sinónimo: tonelada bruta (2240 ​​lb)"
"STI","Estone (reino unido)",
"STN","Tonelada (estados unidos) o tonelada corta (reino unido y estados unidos)","Sinónimo: tonelada neta (2000 lb)"
"APZ","Onza troy u onza farmacéutica ",
"F13","Slug","Una unidad de masa. Un slug es la masa acelerada a 1 pie por segundo por segundo por una fuerza de 1 libra."
"K64","Libra (avoirdupois) por grado fahrenheit",
"L69","Tonelada por kelvin",
"L87","Tonelada corta por grado fahrenheit",
"M85","Tonelada, ensayo","Unidad de masa no conforme al sistema internacional, utilizada en la mineralogía para determinar la concentración de metales preciosos en el mineral de acuerdo con la masa del metal precioso en miligramos en una muestra de la masa de un sonido de ensayo ("
"M86","Libra","Anticuada unidad de masa usada en Alemania."
"KMQ","Kilogramo por metro cúbico","Unidad de peso expresada en kilogramos de una sustancia que llena un volumen de un metro cúbico."
"23","Gramo por centímetro cúbico",
"D41","Tonelada por metro cúbico",
"GJ","Gramo por mililitro",
"B35","Kilogramo por litro",
"GL","Gramo por litro",
"A93","Gramo por metro cúbico",
"GP","Miligramo por metro cúbico",
"B72","Megagramo por metro cúbico",
"B34","Kilogramo por decímetro cúbico",
"H64","Miligramo por gramo",
"H29","Microgramo por litro",
"M1","Miligramo por litro",
"GQ","Microgramo por metro cúbico",
"G11","Gramo por centímetro cúbico bar",
"G33","Gramo por centímetro cúbico kelvin",
"F23","Gramo por decímetro cúbico",
"G12","Gramo por decímetro cúbico bar",
"G34","Gramo por decímetro cúbico kelvin",
"G14","Gramo por metro cúbico bar",
"G36","Gramo por metro cúbico kelvin",
"G13","Gramo por litro bar",
"G35","Gramo por litro kelvin",
"G15","Gramo por mililitro bar",
"G37","Gramo por mililitro kelvin",
"G31","Kilogramo por centímetro cúbico",
"G16","Kilogramo por centímetro cúbico bar",
"G38","Kilogramo por centímetro cúbico kelvin",
"G18","Kilogramo por metro cúbico bar",
"G40","Kilogramo por metro cúbico kelvin",
"H54","Kilogramo por decímetro cúbico kelvin ",
"H55","Kilogramo por decímetro cúbico bar",
"F14","Gramo por kelvin",
"F15","Kilogramo por kelvin",
"F24","Kilogramo por kilomol",
"G17","Kilogramo por litro bar",
"G39","Kilogramo por litro kelvin",
"H53","Kilogramo por bar",
"F18","Kilogramo centímetro cuadrado",
"F19","Kilogramo milimetro cuadrado",
"F74","Gramo por bar",
"F75","Miligramo por bar",
"F16","Miligramo por kelvin",
"M73","Kilogramo por metro cúbico pascal","Unidad base del sistema internacional kilogramo, dividido por el producto de metro elevado al exponente 3 por pascal."
"87","Libra por pie cúbico",
"GE","Libra por galón (estados unidos)",
"LA","Libra por pulgada cúbica ",
"G32","Onza (avoirdupois) por yarda cúbica",
"J34","Microgramo por metro cúbico kelvin",
"J35","Microgramo por metro cúbico bar",
"K41","Grano por galón (estados unidos)",
"K69","Libra (avoirdupois) por pie cúbico grado fahrenheit",
"K70","Libra (avoirdupois) por pie cúbico psi",
"K71","Libra (avoirdupois) por galón (reino unido)",
"K75","Libra (avoirdupois) por pulgada cúbica grado fahrenheit",
"K76","Libra (avoirdupois) por pulgada cúbica psi",
"K84","Libra por yarda cúbica ",
"L17","Miligramo por metro cúbico kelvin",
"L18","Miligramo por metro cúbico bar",
"L37","Onza (avoirdupois) por galón (reino unido)",
"L38","Onza (avoirdupois) por galón (estados unidos)",
"L39","Onza (avoirdupois) por pulgada cúbica",
"L65","Slug por pie cúbico",
"L76","Tonelada por metro cúbico kelvin",
"L77","Tonelada por metro cúbico bar",
"L92","Tonelada larga (reino unido) por yarda cúbica",
"L93","Tonelada corta (estados unidos) por yarda cúbica",
"K77","Libra (avoirdupois) por psi",
"L70","Tonelada por bar",
"L91","Tonelada corta por psi",
"M74","Kilogramo por pascal",
"C62","Uno","Sinónimo: unidad"
"A39","Metro cúbico por kilogramo",
"22","Decilitro por gramo",
"H65","Mililitro por metro cúbico",
"H83","Litro por kilogramo",
"KX","Mililitro por kilogramo",
"H15","Centímetro cudrado por gramo",
"N28","Decímetro cúbico por kilogramo","0.001 veces de metro, unidad base  del sistema internacional elevado al exponente 3 dividido por el kilogramo."
"N29","Pie cúbico por libra ","Potencia del pie, unidad de acuerdo con el sistema de unidades Anglo-Americanas e Imperial elevado al exponente 3 dividido por la libra de la unidad avoirdupois según el sistema unitario avoirdupois."
"N30","Pulgada cúbica por libra","Potencia de la unidad pulgada según el sistema Anglo-Americano e Imperial de unidades elevado al exponente 3 dividido por la libra avoirdupois según el sistema unitario avoirdupois."
"KL","Kilogramo por metro",
"GF","Gramo por metro (gramo por 100 centímetros)",
"H76","Gramo por milímetro",
"KW","Kilogramo por milímetro",
"C12","Miligramo por metro",
"M31","Kilogramo por kilómetro",
"P2","Libra por pie",
"PO","Libra por pulgada",
"M83","Denier","Unidad tradicional para la indicación de la masa lineal de fibras e hilados textiles."
"M84","Libra por yarda ","Unidad de masa lineal según el sistema de unidades avoirdupois."
"GO","Miligramo por metro cuadrado",
"25","Gramo por centímetro cuadrado",
"H63","Miligramo por centímetro cuadrado",
"GM","Gramo por metro cuadrado",
"28","Kilogramo por metro cuadrado",
"D5","Kilogramo por centímetro cuadrado",
"ON","Onza por yarda cuadrada",
"37","Onza por pie cuadrado",
"B31","Kilogramo metro por segundo",
"M98","Kilogramo centímetro por segundo","Producto del kilogramo de unidad de base SI y  0.01 veces de metro unidad de base SI dividido por la unidad de base SI en segundo."
"M99","Gramo centímetro por segundo","Producto del 0.001 veces del kilogramo de la unidad base SI y el 0,01 veces del metro de la unidad base SI dividido por la unidad base SI, segundo."
"N10","Libra pie por segundo","Producto de la libra avoirdupois de acuerdo con el sistema de unidades avoirdupois y el pie de acuerdo con el sistema de unidades Anglo-Americano y el sistema imperial, dividido por la unidad segundo del sistema interacional."
"N11","Libra pulgada por segundo","Producto de la libra avoirdupois de acuerdo con el sistema de unidades avoirdupois y la pulgada de acuerdo con el sistema de unidades Anglo-Americano y el sistema imperial, dividido por la unidad segundo del sistema interacional."
"B33","Kilogramo metro cuadrado por segundo",
"B32","Kilogramo metro cuadrado",
"F20","Libra pulgada cuadrada",
"K65","Libra (avoirdupois) pie cuadrado",
"NEW","Newton",
"B73","Meganewton",
"B47","Kilonewton",
"C20","Milinewton",
"B92","Micronewton",
"C78","Libra fuerza",
"L40","Onza fuerza",
"L94","Tonelada fuerza",
"M75","Kilolibra fuerza","100 veces la unidad de fuerza, libra fueza de acuerdo con la relación del sistema de unidades  Anglo-Americano"
"M76","Poundal","Unidad no conforme al sistema internacional de la potencia, que corresponde a una masa de una libra multiplicada con la aceleración de un pie por segundo cuadrado."
"M77","Kilogramo metro por segundo cuadrado","Producto del kilogramo,unidad base del sistema internacional y del metro, unidad base del sistema internacional dividido por la potencia del segundo elevado al exponente 2."
"M78","Pond","0.001 veces de la unidad del peso, definida como una masa de 1 kg que se encuentra sobre una fuerza de peso de 1 kp por la fuerza gravitatoria al nivel del mar, que corresponde a una fuerza de 9,806 65 newton."
"F17","Libra fuerza por pie",
"F48","Libra fuerza por pulgada",
"C54","Newton metro cuadrado por kilogramo cuadrado",
"NU","Newton metro",
"H40","Newton por ampere",
"B74","Meganewton metro",
"B48","Kilonewton metro",
"D83","Milinewton metro",
"B93","Micronewton metro",
"DN","Decinewton metro",
"J72","Centinewton metro",
"M94","Kilogramo metro","Unidad de desequilibrio como producto del kilogramo  y el metro."
"F88","Newton centímetro",
"F90","Newton metro por amper",
"F89","Newton metro por grados",
"G19","Newton metro por kilogramo",
"F47","Newton por milímetro",
"M93","Newton metro por radián","Producto de la unidad derivada del sistema internacional, newton y de la unidad base , metro, dividida por la unidad radián."
"H41","Newton metro watts elevado a la potencia menos 0.5",
"IA","Pulgada libra",
"4Q","Onza pulgada",
